iteration: 5400, loss: 0.0031, scmap loss: 0.0028, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 5500, loss: 0.0029, scmap loss: 0.0027, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 5600, loss: 0.0033, scmap loss: 0.0030, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 5700, loss: 0.0031, scmap loss: 0.0028, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 5800, loss: 0.0032, scmap loss: 0.0029, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 5900, loss: 0.0034, scmap loss: 0.0031, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 6000, loss: 0.0030, scmap loss: 0.0028, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6100, loss: 0.0029, scmap loss: 0.0026, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6200, loss: 0.0032, scmap loss: 0.0029, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6300, loss: 0.0031, scmap loss: 0.0029, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6400, loss: 0.0030, scmap loss: 0.0027, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6500, loss: 0.0028, scmap loss: 0.0025, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6600, loss: 0.0030, scmap loss: 0.0027, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6700, loss: 0.0029, scmap loss: 0.0027, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6800, loss: 0.0030, scmap loss: 0.0027, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6900, loss: 0.0030, scmap loss: 0.0027, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 7000, loss: 0.0032, scmap loss: 0.0029, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 7100, loss: 0.0028, scmap loss: 0.0025, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 7200, loss: 0.0028, scmap loss: 0.0025, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 7300, loss: 0.0029, scmap loss: 0.0027, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 7400, loss: 0.0029, scmap loss: 0.0026, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 7500, loss: 0.0028, scmap loss: 0.0025, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 7600, loss: 0.0025, scmap loss: 0.0023, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 7700, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 7800, loss: 0.0025, scmap loss: 0.0023, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 7900, loss: 0.0025, scmap loss: 0.0023, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 8000, loss: 0.0025, scmap loss: 0.0023, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
